Source,Title,Date,Author,Link,Extract
NewsSite,Name,Date of publishing the Article,Author,Weblink,Summary
ALPHA_VANTAGE,Johnson & Johnson (NYSE:JNJ) Declares Quarterly Dividend of $1.30,2026-01-02,MarketBeat,https://www.marketbeat.com/instant-alerts/johnson-johnson-nysejnj-declares-quarterly-dividend-of-130-2026-01-02/,"Johnson & Johnson (NYSE:JNJ) has declared a quarterly dividend of $1.30 per share, payable March 10, 2026, to shareholders of record on February 24, 2026. This dividend, which represents an annualized $5.20 and a yield of approximately 2.5%, marks the 64th consecutive year of dividend increases for the company. Analysts predict Johnson & Johnson's earnings will sufficiently cover the dividend, with a projected future payout ratio of 47.0%.. Sentiment: Neutral (0.08). Tickers: JNJ: Somewhat-Bullish (0.31), PFE: Neutral (-0.11), WBA: Neutral (-0.14), UNH: Neutral (0.10)"
ALPHA_VANTAGE,Pfizer Inc.: From Pandemic Icon to Platform Powerhouse,2026-01-02,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/pfizer-inc-from-pandemic-icon-to-platform-powerhouse/68451396,"Pfizer is transforming itself from a pandemic-era vaccine giant into a diversified biopharma platform, focusing on mRNA technology, oncology with the Seagen acquisition, and immunology & rare diseases. The company aims to leverage its scale and execute new product launches to drive growth, demonstrating to investors that it can build a sustainable innovation engine beyond its COVID-19 windfall. This strategy is crucial for its stock valuation, which reflects investor skepticism about its post-pandemic reinvention amid declining COVID revenues and patent expirations.. Sentiment: Neutral (0.09). Tickers: PFE: Somewhat-Bullish (0.17), MRNA: Somewhat-Bullish (0.32), JNJ: Neutral (0.14), BMY: Neutral (-0.15), MRK: Neutral (-0.13)"
ALPHA_VANTAGE,AbbVie stock ends 2025 lower as markets shut for New Year — what ABBV investors watch next,2026-01-01,ts2.tech,https://ts2.tech/en/abbvie-stock-ends-2025-lower-as-markets-shut-for-new-year-what-abbv-investors-watch-next/,"AbbVie stock closed 2025 down by 0.5% at $228.49 on Wednesday, as U.S. markets shut for the New Year's Day holiday. Investors are now looking ahead to the Federal Reserve's late-January meeting and AbbVie's mid-January dividend record date, with attention on whether the stock can hold above its 50-day moving average and reach its 52-week high in the post-Humira transition period. The drugmaker is focusing on newer immunology medicines like Skyrizi and Rinvoq to offset the decline of Humira.. Sentiment: Neutral (-0.14). Tickers: ABBV: Somewhat-Bearish (-0.21), JNJ: Neutral (0.01), MRK: Somewhat-Bearish (-0.24), PFE: Somewhat-Bearish (-0.21), LLY: Neutral (0.01)"
ALPHA_VANTAGE,Pfizer stock in focus on New Year’s Day after report of 2026 U.S. drug price hikes,2026-01-01,ts2.tech,https://ts2.tech/en/pfizer-stock-in-focus-on-new-years-day-after-report-of-2026-u-s-drug-price-hikes/,"Pfizer's stock is under scrutiny after a report indicated the company plans to raise U.S. list prices on approximately 80 medicines in 2026, including a 15% hike for its COVID vaccine Comirnaty. Investors are monitoring for potential policy pushback, especially since January is a key period for annual drug pricing adjustments. The company states its average list-price adjustments are below inflation and are necessary for research and operational costs, while other drugmakers are also adjusting prices, some even cutting them due to government negotiations.. Sentiment: Neutral (0.05). Tickers: PFE: Somewhat-Bearish (-0.25), LLY: Somewhat-Bullish (0.22), JNJ: Neutral (0.14)"
ALPHA_VANTAGE,Corcept Therapeutics (CORT) stock sinks after FDA rebuff; relacorilant outlook resets,2026-01-01,ts2.tech,https://ts2.tech/en/corcept-therapeutics-cort-stock-sinks-after-fda-rebuff-relacorilant-outlook-resets/,"Corcept Therapeutics (CORT) stock plummeted by 50% after the FDA requested more evidence for its relacorilant drug for Cushing’s-related hypertension, leading analysts to cut price targets. While the drug's outlook for hypertension is dim, the FDA has set a July 11, 2026 deadline for relacorilant's review in platinum-resistant ovarian cancer. Investors are now awaiting clarity on potential new trials and the company's next scheduled update in late February.. Sentiment: Somewhat-Bearish (-0.25). Tickers: CORT: Bearish (-0.81), PFE: Neutral (-0.12), MRNA: Neutral (-0.13), BIIB: Neutral (-0.12), JNJ: Neutral (-0.12)"
ALPHA_VANTAGE,"The Truth About AbbVie Inc (ABBV): Quiet Pharma Giant, Loud Money Moves",2026-01-01,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/the-truth-about-abbvie-inc-abbv-quiet-pharma-giant-loud-money-moves/68447435,"AbbVie Inc (ABBV) is presented as a quiet pharmaceutical giant known for consistent dividends, strong cash flow, and significant R&D investments, positioning it as a steady compounder rather than a high-volatility stock. The article discusses its appeal to long-term investors seeking income and stability, while also noting risks like patent cliffs and regulatory scrutiny. It compares ABBV to competitors like Johnson & Johnson, highlighting AbbVie's focus on pharma and a stronger dividend growth narrative.. Sentiment: Somewhat-Bullish (0.26). Tickers: ABBV: Bullish (0.40), JNJ: Somewhat-Bullish (0.23), PFE: Neutral (0.13)"
ALPHA_VANTAGE,"The Truth About AbbVie Inc (ABBV): Quiet Pharma Giant, Loud Money Moves",2026-01-01,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/the-truth-about-abbvie-inc-abbv-quiet-pharma-giant-loud-money-moves/68447435,"AbbVie Inc. appears to be a quiet pharmaceutical giant, yet it is making significant financial moves through consistent cash generation, dividend increases, and strategic R&D investments. The article examines whether ABBV is a valuable addition to a portfolio, considering its strong dividend history and pipeline against risks like patent cliffs and regulatory pressures. It also compares AbbVie to competitors like Johnson & Johnson, highlighting its focus on pharmaceutical dividends and growth potential.. Sentiment: Somewhat-Bullish (0.22). Tickers: ABBV: Bullish (0.41), JNJ: Somewhat-Bullish (0.27), PFE: Neutral (0.13), BMY: Neutral (0.11)"
ALPHA_VANTAGE,The Truth About GSK plc (ADR): Is This ‘Boring’ Stock Quietly Becoming a Power Play?,2026-01-01,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/the-truth-about-gsk-plc-adr-is-this-boring-stock-quietly-becoming/68446898,"This article evaluates GSK plc (ADR) as a potential investment, questioning if this seemingly ""boring"" pharma giant is a strong, stable addition to a portfolio. It examines GSK's price performance, dividend payouts, and robust product pipeline focusing on vaccines and specialty medicines, contrasting it with more volatile ""meme stocks."" The piece suggests that while GSK may lack viral hype, its consistency and defensive qualities make it an attractive long-term holding for serious investors, especially when compared to competitors like Pfizer and Johnson & Johnson.. Sentiment: Somewhat-Bullish (0.20). Tickers: GSK: Bullish (0.44), PFE: Neutral (0.14), JNJ: Neutral (0.13)"
ALPHA_VANTAGE,The Truth About AbbVie Inc: Is ABBV the Sleeper Stock Gen Z Is Sleeping On?,2025-12-31,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/the-truth-about-abbvie-inc-is-abbv-the-sleeper-stock-gen-z-is-sleeping/68444886,"This article explores whether AbbVie Inc. (ABBV) is a valuable ""sleeper stock"" overlooked by younger generations favoring trend-driven investments. It delves into ABBV's strong dividend yield, its transition away from reliance on Humira with new growth drugs like Skyrizi and Rinvoq, and its competitive standing against other pharmaceutical giants. The piece concludes that ABBV is a strong contender for long-term investors seeking steady income and healthcare exposure, despite not being a volatile, ""viral"" stock.. Sentiment: Somewhat-Bullish (0.16). Tickers: ABBV: Somewhat-Bullish (0.33), JNJ: Neutral (0.13), PFE: Neutral (0.06), MRK: Neutral (0.13)"
ALPHA_VANTAGE,"I Pfizer stock flat before the bell as report flags 2026 U.S. drug price hikes, including 15% Comirnaty rise",2025-12-31,ts2.tech,https://ts2.tech/en/pfizer-stock-flat-before-the-bell-as-report-flags-2026-u-s-drug-price-hikes-including-15-comirnaty-rise/,"Pfizer shares were flat in premarket trading after a report indicated the company is planning a new round of U.S. list-price increases for 2026 across approximately 80 drugs, including a 15% rise for its COVID vaccine, Comirnaty. This comes as drug pricing gains renewed attention in Washington, with the Trump administration pressing for cost controls. Investors are awaiting Pfizer's Feb. 3 results update and monitoring potential policy responses and payer pushback.. Sentiment: Neutral (0.07). Tickers: PFE: Neutral (-0.07), MRK: Neutral (0.13), JNJ: Neutral (0.07)"
ALPHA_VANTAGE,PFE - Pfizer Inc,2026-01-02,Alpha Vantage,https://www.alphavantage.co/query?function=OVERVIEW&symbol=PFE,"PFE (Pfizer Inc): Sector: HEALTHCARE, Industry: DRUG MANUFACTURERS - GENERAL, Close: $25.1800, Volume: 35901034, Market Cap: $141.57B, PE Ratio: 14.48, Dividend Yield: 0.068"
ALPHA_VANTAGE,The Truth About AstraZeneca plc: Wall Street Sleeper Stock Or Overhyped Dinosaur?,2026-01-11,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/the-truth-about-astrazeneca-plc-wall-street-sleeper-stock-or-overhyped/68477092,"This article analyzes AstraZeneca plc, questioning if it's a valuable long-term investment or an overhyped stock. It highlights AstraZeneca's strong drug pipeline, particularly in oncology, cardiovascular, respiratory, and rare diseases, as a key growth driver, distinguishing it from popular meme stocks. The piece concludes that AstraZeneca offers steady compounding and exposure to a vital sector for investors focused on long-term growth and real-world impact.. Sentiment: Somewhat-Bullish (0.21). Tickers: AZN: Bullish (0.41), PFE: Neutral (0.11), MRK: Neutral (0.14), JNJ: Neutral (0.10)"
ALPHA_VANTAGE,The Truth About Takeda Pharmaceutical Co Ltd: Is This Pharma Giant a Silent Market Cheat Code?,2026-01-10,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/ueberblick/the-truth-about-takeda-pharmaceutical-co-ltd-is-this-pharma-giant-a/68474308,"This article examines Takeda Pharmaceutical Co Ltd, positioning it as a potentially undervalued ""silent market cheat code"" for long-term investors. It highlights Takeda's stable stock performance, diversified drug pipeline across various therapeutic areas, and a valuation that often trades at a discount compared to its US/European peers. The author suggests Takeda offers a strong opportunity for global healthcare exposure and dividends, appealing to patient investors rather than those seeking quick, speculative returns.. Sentiment: Neutral (0.10). Tickers: TAK: Bullish (0.52), PFE: Neutral (-0.11), JNJ: Neutral (-0.12)"
ALPHA_VANTAGE,J&J Joins Trump Administration’s MFN Pricing Initiative,2026-01-09,Citeline News & Insights,https://insights.citeline.com/scrip/drug-pricing/jj-joins-trump-administrations-mfn-pricing-initiative-Z24EKJNGIREE5P54CP3OHV64VM/,"Johnson & Johnson has joined the Trump administration's Most Favored Nation (MFN) pricing initiative. The article mentions that the Supreme Court has not yet ruled on tariffs related to this policy. This move by J&J aligns it with a controversial drug pricing strategy introduced by the previous administration.. Sentiment: Neutral (0.10). Tickers: REGN: Neutral (0.15), JNJ: Neutral (-0.14), ABBV: Neutral (0.11), PFE: Neutral (0.13), MRK: Neutral (0.14)"
ALPHA_VANTAGE,AbbVie Inc. Bets Big on Immunology and Oncology: How Its Drug Portfolio Became the Real Flagship Product,2026-01-09,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/abbvie-inc-bets-big-on-immunology-and-oncology-how-its-drug-portfolio/68473364,"AbbVie Inc. has strategically pivoted its focus to a diversified portfolio in immunology, oncology, and neuroscience, rather than relying on a single blockbuster drug. By introducing successors to Humira like Skyrizi and Rinvoq, alongside key oncology drugs and the Allergan acquisition (Botox), AbbVie has managed its post-patent-cliff transition effectively. This strategy positions its portfolio as a multi-segment technology platform, aiming to sustain long-term growth and shareholder returns amidst intense market competition.. Sentiment: Somewhat-Bullish (0.23). Tickers: ABBV: Bullish (0.45), JNJ: Neutral (0.14), PFE: Neutral (0.14), AMGN: Neutral (0.11)"
ALPHA_VANTAGE,Royalty Pharma gives shareholders a 6.8% raise in quarterly payouts,2026-01-09,Stock Titan,https://www.stocktitan.net/news/RPRX/royalty-pharma-announces-dividend-1xpcmnlxod6p.html,"Royalty Pharma (Nasdaq: RPRX) has announced a 6.8% increase in its quarterly dividend, raising it to $0.235 per Class A ordinary share for the first quarter of 2026. The dividend is scheduled for payment on March 10, 2026, to shareholders of record as of February 20, 2026. This move reflects the company's continuous funding of innovation in the biopharmaceutical industry.. Sentiment: Somewhat-Bullish (0.17). Tickers: RPRX: Bullish (0.40), BIIB: Neutral (0.11), PFE: Neutral (0.11), JNJ: Neutral (0.14), GILD: Neutral (0.14)"
ALPHA_VANTAGE,"J&J strikes MFN deal with Trump, reveals plan to build 2 US manufacturing sites",2026-01-09,Fierce Pharma,https://www.fiercepharma.com/pharma/jj-strikes-mfn-deal-trump-reveals-plan-build-2-us-manufacturing-sites,"Johnson & Johnson has reached a most-favored-nation (MFN) drug pricing deal with the Trump administration, allowing it to offer some drugs at lower prices comparable to other developed countries through TrumpRx.gov and Medicaid, in exchange for relief from tariffs. Alongside this agreement, J&J announced plans to build new cell therapy and drug product manufacturing facilities in Pennsylvania and North Carolina, respectively, as part of its $55 billion commitment to bolster U.S. manufacturing. This deal follows similar arrangements made by other biopharma giants with the administration after Trump's call for U.S. drug prices to match those in other developed nations.. Sentiment: Somewhat-Bullish (0.20). Tickers: JNJ: Bullish (0.42), BMY: Neutral (0.14), GILD: Neutral (0.12), AMGN: Neutral (0.12), PFE: Neutral (0.13)"
ALPHA_VANTAGE,Royalty Pharma increases quarterly dividend by 6.8% to $0.235,2026-01-09,Investing.com South Africa,https://za.investing.com/news/company-news/royalty-pharma-increases-quarterly-dividend-by-68-to-0235-93CH-4055571,"Royalty Pharma (NASDAQ:RPRX) has announced a 6.8% increase in its quarterly dividend to $0.235 per Class A ordinary share, marking its sixth consecutive year of dividend raises. The dividend is set to be paid on March 10, 2026, to shareholders of record as of February 20, 2026. This decision follows recent strategic acquisitions by the company, including royalty interests in Roche's Evrysdi and new cancer therapies, alongside a positive outlook from TD Cowen.. Sentiment: Somewhat-Bullish (0.34). Tickers: RPRX: Bullish (0.50), VRTX: Somewhat-Bullish (0.32), JNJ: Somewhat-Bullish (0.33), PFE: Somewhat-Bullish (0.31)"
