Source,Title,Date,Author,Link,Extract
NewsSite,Name,Date of publishing the Article,Author,Weblink,Summary
BENZINGA,"Guggenheim Maintains Buy on Johnson & Johnson, Raises Price Target to $227",2025-12-05,Benzinga Newsdesk,https://www.benzinga.com/news/25/12/49229579/guggenheim-maintains-buy-on-johnson-johnson-raises-price-target-to-227,Guggenheim  analyst Vamil Divan   maintains Johnson &amp; Johnson (NYSE:JNJ) with a Buy and raises the price target from $206 to $227.
BENZINGA,"Johnson & Johnson Announces New Data From Investigational Cohort 4 Of Phase 2b SunRISe-1 Study Show Treatment With Gemcitabine Intravesical System Resulted In High One-Year DFS, PFS, And OS Rates In Patients With BCG-Unresponsive, High-Risk, Papillary-Only NMIBC",2025-12-05,Benzinga Newsdesk,https://www.benzinga.com/news/25/12/49242702/johnson-johnson-announces-new-data-from-investigational-cohort-4-of-phase-2b-sunrise-1-study-show-tr,"New data from Cohort 4 of the SunRISe-1 study show more than 95 percent of patients remained progression free at one year, with more than 92 percent not undergoing bladder removalPatients with this type of bladder cancer"
BENZINGA,"Johnson & Johnson Announced Saturday, Earlier Use Of CARVYKTI  Demonstrated Lasting Treatment-Free Remissions At 2.5 Years In Patients With Relapsed Or Refractory Multiple Myeloma",2025-12-08,Benzinga Newsdesk,https://www.benzinga.com/news/25/12/49249209/johnson-johnson-announced-saturday-earlier-use-of-carvykti-demonstrated-lasting-treatment-free-remis,Johnson &amp; Johnson (NYSE:JNJ) announced today updated results from the Phase 3 CARTITUDE-4 study supporting durable treatment-free remissions as early as second line treatment with CARVYKTI®
BENZINGA,Johnson & Johnson Announces New Data From Investigational Phase 3 Majestec-3 Study That Show Potential Of TECVAYLI Plus DARZALEX FASPRO As Early As Second Line For Patients With R/R Multiple Myeloma,2025-12-09,Benzinga Newsdesk,https://www.benzinga.com/news/25/12/49276975/johnson-johnson-announces-new-data-from-investigational-phase-3-majestec-3-study-that-show-potential,TECVAYLI® and DARZALEX FASPRO® combination led to a statistically significant progression-free survival and overall survival advantage compared to standard treatment after three years of follow-upCombination
BENZINGA,Exicure Rally Fueled By Rapid Cell-Boosting Results In Blood Cancer Trial,2025-12-09,Vandana Singh,https://www.benzinga.com/news/health-care/25/12/49284762/exicure-rally-fueled-by-rapid-cell-boosting-results-in-blood-cancer-trial,Exicure shares trade higher after Phase 2 data show nearly 90% of patients reached key cell collection targets using its burixafor combination in multiple myeloma.
BENZINGA,"FDA Grants Conditional Approval For Merck's EXZOLT CATTLE-CA1, First Topical Solution For Screwworm Prevention And Cattle Fever Tick Control",2025-12-04,Benzinga Newsdesk,https://www.benzinga.com/general/biotech/25/12/49213906/fda-grants-conditional-approval-for-mercks-exzolt-cattle-ca1-first-topical-solution-for-screwworm,EXZOLT™ CATTLE-CA1 is the first in its class and the only product conditionally approved for both the prevention and treatment of New World screwworm and treatment and control of cattle fever tickMerck Animal
BENZINGA,Pliant Cancer Drug Boosts Responses When Paired With Merck's Blockbuster Keytruda In Tough-To-Treat Tumors,2025-12-04,Vandana Singh,https://www.benzinga.com/news/health-care/25/12/49217318/pliant-cancer-drug-boosts-responses-when-paired-with-mercks-blockbuster-keytruda-in-tough-to-treat-tumors,Pliant Therapeutics posts interim Phase 1 data showing antitumor activity and durable responses for PLN-101095 in ICI-refractory advanced cancer patients.
BENZINGA,"Scotiabank Maintains Sector Outperform on Merck & Co, Raises Price Target to $120",2025-12-04,Benzinga Newsdesk,https://www.benzinga.com/news/25/12/49218821/scotiabank-maintains-sector-outperform-on-merck-co-raises-price-target-to-120,Scotiabank  analyst Louise Chen   maintains Merck &amp; Co (NYSE:MRK) with a Sector Outperform and raises the price target from $105 to $120.
BENZINGA,CDC Prevention Advisory Committee On Immunization Practices Voted To Abandon Universal Hepatitis B Vaccination For Newborns,2025-12-05,Benzinga Newsdesk,https://www.benzinga.com/news/25/12/49233259/cdc-prevention-advisory-committee-on-immunization-practices-voted-to-abandon-universal-hepatitis-b-v,https://www.cnn.com/health/live-news/cdc-vaccine-meeting-hepatitis-b-12-05-25
