Source,Title,Date,Author,Link,Extract
NewsSite,Name,Date of publishing the Article,Author,Weblink,Summary
GDELT,GTA Online : How to Make Passive Income Using the Nightclub,2026-01-03,gameranx.com,https://gameranx.com/features/id/560048/article/gta-online-how-to-make-passive-income-using-the-nightclub/,GTA Online : How to Make Passive Income Using the Nightclub
GDELT,第72回徳島駅伝 ４日から２日間｜徳島新聞社,2026-01-03,topics.or.jp,https://www.topics.or.jp/articles/-/1364112,第72回徳島駅伝 ４日から２日間｜徳島新聞社
GDELT,  No magic bullet : Colorado officials seek ways to curb rising Medicaid costs,2026-01-03,postindependent.com,https://www.postindependent.com/news/medicaid-rising-costs-colorado-seeks-help/,  No magic bullet : Colorado officials seek ways to curb rising Medicaid costs
GDELT,Expansion of travel ban in 2026 creating additional difficulties for Lincoln refugees,2026-01-03,klkntv.com,https://www.klkntv.com/expansion-of-travel-ban-in-2026-creating-additional-difficulties-for-lincoln-refugees/,Expansion of travel ban in 2026 creating additional difficulties for Lincoln refugees
GDELT,GlucoTrust Bites Chewable Blood Sugar Support Gains Consumer Attention as Resistin Research Enters Mainstream Awareness,2026-01-03,manilatimes.net,https://www.manilatimes.net/2026/01/03/tmt-newswire/globenewswire/glucotrust-bites-chewable-blood-sugar-support-gains-consumer-attention-as-resistin-research-enters-mainstream-awareness/2252146,GlucoTrust Bites Chewable Blood Sugar Support Gains Consumer Attention as Resistin Research Enters Mainstream Awareness
GDELT,Best Magnesium Supplement : BIOptimizers Magnesium Breakthrough Under Consumer Analysis as January 2026 Sleep and Stress Searches Surge,2026-01-03,manilatimes.net,https://www.manilatimes.net/2026/01/03/tmt-newswire/globenewswire/best-magnesium-supplement-bioptimizers-magnesium-breakthrough-under-consumer-analysis-as-january-2026-sleep-and-stress-searches-surge/2252148,Best Magnesium Supplement : BIOptimizers Magnesium Breakthrough Under Consumer Analysis as January 2026 Sleep and Stress Searches Surge
GDELT,Best Chocolate Weight Loss Supplement : Consumer Analysis Examines Cacao GLP - 1 Research as January Wellness Interest Surges,2026-01-03,manilatimes.net,https://www.manilatimes.net/2026/01/03/tmt-newswire/globenewswire/best-chocolate-weight-loss-supplement-consumer-analysis-examines-cacao-glp-1-research-as-january-wellness-interest-surges/2252145,Best Chocolate Weight Loss Supplement : Consumer Analysis Examines Cacao GLP - 1 Research as January Wellness Interest Surges
GDELT,"After splash in 2025 , weight - loss drugs poised to take off this year",2026-01-03,indianexpress.com,https://indianexpress.com/article/explained/explained-health/splash-2025-weight-loss-drugs-2026-10452464/,"After splash in 2025 , weight - loss drugs poised to take off this year"
GDELT,The Next Great Transformation : How AI Will Reshape Industries and Itself,2026-01-03,forbes.com,https://www.forbes.com/sites/chuckbrooks/2026/01/02/the-next-great-transformation-how-ai-will-reshape-industries-and-itself/,The Next Great Transformation : How AI Will Reshape Industries and Itself
