Source,Title,Date,Author,Link,Extract
POLYGON_IO,PFE Daily Market Stats,2026-01-09,Polygon.io,https://polygon.io/symbol/PFE,"Open: 25.34, Close: 25.48, High: 25.55, Low: 25.23, Vol: 34182753"
POLYGON_IO,Prediction: 2 Healthcare Stocks That Will Be Worth More Than Pfizer by the End of 2026,2026-01-09,Prosper Junior Bakiny,https://www.fool.com/investing/2026/01/09/prediction-2-healthcare-stocks-that-will-be-worth/?source=iedfolrf0000001,"The article predicts that Vertex Pharmaceuticals and Medtronic could surpass Pfizer's market value by end of 2026. Pfizer faces challenges including patent cliffs and weak guidance, while Vertex benefits from its cystic fibrosis franchise and new pain medication Journavx, and Medtronic is buoyed by strong financial results and its Hugo robotic surgery system."
POLYGON_IO,"Madrigal Expands its MASH Pipeline with Exclusive Global License Agreement for Ervogastat, a Phase 2 Oral DGAT-2 Inhibitor",2026-01-09,Na,https://www.globenewswire.com/news-release/2026/01/09/3216039/0/en/Madrigal-Expands-its-MASH-Pipeline-with-Exclusive-Global-License-Agreement-for-Ervogastat-a-Phase-2-Oral-DGAT-2-Inhibitor.html,"Madrigal Pharmaceuticals announced an exclusive global license agreement with Pfizer to develop ervogastat, a Phase 2 oral DGAT-2 inhibitor for MASH treatment. The deal includes a $50 million upfront payment to Pfizer, with ervogastat positioned as a complementary therapy to Madrigal's approved drug Rezdiffra for potential combination treatment. Madrigal plans to conduct drug-to-drug interaction studies and consult with the FDA on Phase 2 combination trial design in 2026."
POLYGON_IO,JNJ Daily Market Stats,2026-01-09,Polygon.io,https://polygon.io/symbol/JNJ,"Open: 205.91, Close: 204.39, High: 206.7, Low: 204.01, Vol: 6154326"
POLYGON_IO,The Dogs of the Dow: 10 Downtrodden Dividends Paying Out Up to 6.8%,2026-01-09,Brett Owens,https://www.investing.com/analysis/the-dogs-of-the-dow-10-downtrodden-dividends-paying-out-up-to-68-200672980,"The article reviews the 2026 'Dogs of the Dow' strategy, identifying the 10 highest-yielding stocks in the Dow Jones Industrial Average. These undervalued blue chips offer yields up to 6.8%, providing 3X more yield than the S&P 500. The strategy capitalizes on contrarian investing by buying out-of-favor stocks with strong fundamentals. The 2026 Dogs include Johnson & Johnson, Nike, Home Depot, UnitedHealth Group, Amgen, Coca-Cola, Procter & Gamble, Merck, Chevron, and Verizon, each facing specific challenges but offering dividend income and potential recovery upside."
POLYGON_IO,"Intraocular Lens Market Size to Reach USD 9.85 Billion by 2033, Growing at a CAGR of 6.48% - SNS Insider",2026-01-09,Sns Insider,https://www.globenewswire.com/news-release/2026/01/09/3215940/0/en/Intraocular-Lens-Market-Size-to-Reach-USD-9-85-Billion-by-2033-Growing-at-a-CAGR-of-6-48-SNS-Insider.html,"The global intraocular lens market is projected to grow from USD 5.97 billion in 2025 to USD 9.85 billion by 2033, driven by rising cataract prevalence, aging populations, and advanced lens technologies. However, high costs of premium lenses and limited accessibility in developing regions remain key challenges. North America leads the market with 38.61% share, while Asia Pacific is expected to witness the fastest growth at 7.03% CAGR."
POLYGON_IO,MRK Daily Market Stats,2026-01-09,Polygon.io,https://polygon.io/symbol/MRK,"Open: 110.87, Close: 110.53, High: 112.4799, Low: 110.22, Vol: 11040598"
POLYGON_IO,The Dogs of the Dow: 10 Downtrodden Dividends Paying Out Up to 6.8%,2026-01-09,Brett Owens,https://www.investing.com/analysis/the-dogs-of-the-dow-10-downtrodden-dividends-paying-out-up-to-68-200672980,"The article reviews the 2026 'Dogs of the Dow' strategy, identifying the 10 highest-yielding stocks in the Dow Jones Industrial Average. These undervalued blue chips offer yields up to 6.8%, providing 3X more yield than the S&P 500. The strategy capitalizes on contrarian investing by buying out-of-favor stocks with strong fundamentals. The 2026 Dogs include Johnson & Johnson, Nike, Home Depot, UnitedHealth Group, Amgen, Coca-Cola, Procter & Gamble, Merck, Chevron, and Verizon, each facing specific challenges but offering dividend income and potential recovery upside."
POLYGON_IO,India Penicillin G Acylase Market to Worth Over US$ 27.76 Million By 2035 | Astute Analytica,2026-01-09,Astute Analytica,https://www.globenewswire.com/news-release/2026/01/09/3215920/0/en/India-Penicillin-G-Acylase-Market-to-Worth-Over-US-27-76-Million-By-2035-Astute-Analytica.html,"India's penicillin G acylase market is experiencing rapid growth driven by government incentives under the Production Linked Incentive scheme, domestic fermentation capacity expansion, and advanced enzymatic technologies. The market is projected to grow at a CAGR of 8.04% from 2025 to 2035, with bacterial fermentation dominating at 55.61% market share and immobilized enzyme technology capturing 44.16%. Key drivers include reduced import dependence, improved supply chain resilience, and India's position as the 'Pharmacy of the World' supplying 40% of global generic antibiotic demand."
POLYGON_IO,Dry January Investing: Trading Pints For Portfolio Growth,2024-01-05,Neil Dennis,https://www.benzinga.com/markets/equities/24/01/36513620/dry-january-investing-trading-pints-for-portfolio-growth,"Around 15% of Americans said they were planning to participate this year in Dry January — a month of abstinence from alcohol — according to a survey by Morning Consult.
Most cite the health benefits from taking a break from the bottle, but it has its financial benefits too. Bloomberg reports that alcohol-tracking app “I Am Sober” found that more than half its users saved more than $15 a day by abandoning drink last year.
But what do you do with those savings? Treat yourself to a new TV? Take a holiday? Or invest the money to keep it growing?
The last time I gave up drinking was during the first U.K. Covid lockdown in spring 2020. I was in denial about my favorite watering hole, The Blue Pig, being closed and stayed alcohol-free for three months. This changed my drinking habits totally.
Before Covid, I could spend anywhere between $75-$120 a week in the pub. Now, I spend only around $50. But during those three sober months in spring 2020, I saved around $1,200, and chose to put this money into a ...Full story available on Benzinga.com"
