Source,Title,Date,Author,Link,Extract
SEC_EDGAR,"Outlook Therapeutics, Inc. - 10-K",2025-12-19,"Outlook Therapeutics, Inc.",https://www.sec.gov/Archives/edgar/data/1649989/000110465925123264/otlk-20250930x10k.htm,"10-K filing by Outlook Therapeutics, Inc. (OTLK). CIK: 1649989. Filed on 2025-12-19T17:01:45-05:00. Form 10-K - Annual report [Section 13 and 15(d), not S-K Item 405]"
SEC_EDGAR,NUTRA PHARMA CORP - 10-Q,2026-01-02,NUTRA PHARMA CORP,https://www.sec.gov/Archives/edgar/data/1119643/000149315226000067/form10-q.htm,10-Q filing by NUTRA PHARMA CORP (NPHC). CIK: 1119643. Filed on 2026-01-02T13:52:00-05:00. Form 10-Q - Quarterly report [Sections 13 or 15(d)]
SEC_EDGAR,NUTRA PHARMA CORP - 10-Q,2025-12-23,NUTRA PHARMA CORP,https://www.sec.gov/Archives/edgar/data/1119643/000149315225028946/form10-q.htm,10-Q filing by NUTRA PHARMA CORP (NPHC). CIK: 1119643. Filed on 2025-12-23T13:15:54-05:00. Form 10-Q - Quarterly report [Sections 13 or 15(d)]
SEC_EDGAR,"PharmaCyte Biotech, Inc. - 10-Q",2025-12-18,"PharmaCyte Biotech, Inc.",https://www.sec.gov/Archives/edgar/data/1157075/000168316825009259/pharmacyte_i10q-103125.htm,"10-Q filing by PharmaCyte Biotech, Inc. (PMCB). CIK: 1157075. Filed on 2025-12-18T17:04:23-05:00. Form 10-Q - Quarterly report [Sections 13 or 15(d)]"
SEC_EDGAR,NUTRA PHARMA CORP - 10-Q,2025-12-17,NUTRA PHARMA CORP,https://www.sec.gov/Archives/edgar/data/1119643/000149315225028202/form10-q.htm,10-Q filing by NUTRA PHARMA CORP (NPHC). CIK: 1119643. Filed on 2025-12-17T17:08:00-05:00. Form 10-Q - Quarterly report [Sections 13 or 15(d)]
SEC_EDGAR,"PharmaCyte Biotech, Inc. - NT 10-Q",2025-12-15,"PharmaCyte Biotech, Inc.",https://www.sec.gov/Archives/edgar/data/1157075/000168316825009154/pharmacyte_nt.htm,"NT 10-Q filing by PharmaCyte Biotech, Inc. (PMCB). CIK: 1157075. Filed on 2025-12-15T16:00:20-05:00. Form NT 10-Q - Notification of inability to timely file Form 10-Q or 10-QSB"
SEC_EDGAR,"Vistagen Therapeutics, Inc. - 8-K",2026-01-09,"Vistagen Therapeutics, Inc.",https://www.sec.gov/Archives/edgar/data/1411685/000162828026001690/vtgn-20260109.htm,"8-K filing by Vistagen Therapeutics, Inc. (VTGN). CIK: 1411685. Filed on 2026-01-09T17:26:46-05:00. Form 8-K - Current report - Item 7.01 Item 9.01"
SEC_EDGAR,"NKGen Biotech, Inc. - 8-K",2026-01-09,"NKGen Biotech, Inc.",https://www.sec.gov/Archives/edgar/data/1845459/000121390026003030/ea0272061-8k_nkgen.htm,"8-K filing by NKGen Biotech, Inc. (NKGN). CIK: 1845459. Filed on 2026-01-09T17:25:25-05:00. Form 8-K - Current report - Item 1.01 Item 2.03 Item 9.01"
SEC_EDGAR,"Enveric Biosciences, Inc. - 8-K",2026-01-09,"Enveric Biosciences, Inc.",https://www.sec.gov/Archives/edgar/data/890821/000149315226001151/form8-k.htm,"8-K filing by Enveric Biosciences, Inc. (ENVB). CIK: 890821. Filed on 2026-01-09T17:23:11-05:00. Form 8-K - Current report - Item 7.01 Item 9.01"
SEC_EDGAR,"Xenetic Biosciences, Inc. - 8-K",2026-01-09,"Xenetic Biosciences, Inc.",https://www.sec.gov/Archives/edgar/data/1534525/000168316826000196/xenetic_8k.htm,"8-K filing by Xenetic Biosciences, Inc. (XBIO). CIK: 1534525. Filed on 2026-01-09T17:00:26-05:00. Form 8-K - Current report - Item 8.01"
SEC_EDGAR,"TENAX THERAPEUTICS, INC. - 8-K",2026-01-09,"TENAX THERAPEUTICS, INC.",https://www.sec.gov/Archives/edgar/data/34956/000165495426000232/tennx_8k.htm,"8-K filing by TENAX THERAPEUTICS, INC. (TENX). CIK: 34956. Filed on 2026-01-09T16:33:28-05:00. Form 8-K - Current report - Item 5.02 Item 9.01"
SEC_EDGAR,"Outlook Therapeutics, Inc. - 10-K",2025-12-19,"Outlook Therapeutics, Inc.",https://www.sec.gov/Archives/edgar/data/1649989/000110465925123264/otlk-20250930x10k.htm,"10-K filing by Outlook Therapeutics, Inc. (OTLK). CIK: 1649989. Filed on 2025-12-19T17:01:45-05:00. Form 10-K - Annual report [Section 13 and 15(d), not S-K Item 405]"
SEC_EDGAR,"PharmaCyte Biotech, Inc. - 10-Q",2025-12-18,"PharmaCyte Biotech, Inc.",https://www.sec.gov/Archives/edgar/data/1157075/000168316825009259/pharmacyte_i10q-103125.htm,"10-Q filing by PharmaCyte Biotech, Inc. (PMCB). CIK: 1157075. Filed on 2025-12-18T17:04:23-05:00. Form 10-Q - Quarterly report [Sections 13 or 15(d)]"
