Source,Title,Date,Author,Link,Extract
YAHOO_FINANCE,Tempus Achieves Record Total Contract Value Exceeding $1.1 Billion,2026-01-11,Yahoo Finance,https://finance.yahoo.com/news/tempus-achieves-record-total-contract-223000270.html?.tsrc=rss,[PFE] Tempus Achieves Record Total Contract Value Exceeding $1.1 Billion. 
YAHOO_FINANCE,Pfizer’s BRAFTOVI® Regimen with Additional Chemotherapy Backbone Increased Response Rates for Certain Patients with Metastatic Colorectal Cancer,2026-01-10,Yahoo Finance,https://finance.yahoo.com/news/pfizer-braftovi-regimen-additional-chemotherapy-150000320.html?.tsrc=rss,[PFE] Pfizer’s BRAFTOVI® Regimen with Additional Chemotherapy Backbone Increased Response Rates for Certain Patients with Metastatic Colorectal Cancer. 
YAHOO_FINANCE,Madrigal Pharmaceuticals (MDGL) Is Down 13.4% After Pfizer MASH Deal And Wolfe Downgrade - What's Changed,2026-01-10,Yahoo Finance,https://finance.yahoo.com/news/madrigal-pharmaceuticals-mdgl-down-13-081210592.html?.tsrc=rss,[PFE] Madrigal Pharmaceuticals (MDGL) Is Down 13.4% After Pfizer MASH Deal And Wolfe Downgrade - What's Changed. 
YAHOO_FINANCE,PFE Stock Update,2026-01-12,Yahoo Finance,https://finance.yahoo.com/quote/PFE,"PFE (PFE): Price: $25.48, Change: 0.00%, Market Cap: $N/A, 52W High: $27.69, 52W Low: $20.92"
YAHOO_FINANCE,RYBREVANT® (amivantamab-vmjw) longer-term results show promising and durable responses in difficult-to-treat colorectal cancer,2026-01-10,Yahoo Finance,https://finance.yahoo.com/news/rybrevant-amivantamab-vmjw-longer-term-150000728.html?.tsrc=rss,[JNJ] RYBREVANT® (amivantamab-vmjw) longer-term results show promising and durable responses in difficult-to-treat colorectal cancer. 
YAHOO_FINANCE,The GLP-1 Blockbuster Maker Widens Its Lead as the Diversified Healthcare Giant Posts Steady Growth,2026-01-10,Yahoo Finance,https://247wallst.com/investing/2026/01/10/the-glp-1-blockbuster-maker-widens-its-lead-as-the-diversified-healthcare-giant-posts-steady-growth/?.tsrc=rss,[JNJ] The GLP-1 Blockbuster Maker Widens Its Lead as the Diversified Healthcare Giant Posts Steady Growth. 
YAHOO_FINANCE,"Stocks to Watch Friday Recap: Intel, GM, Ford",2026-01-09,Yahoo Finance,https://finance.yahoo.com/m/9d003734-2869-3fb4-9337-02580e888f6e/stocks-to-watch-friday-recap%3A.html?.tsrc=rss,"[JNJ] Stocks to Watch Friday Recap: Intel, GM, Ford. "
YAHOO_FINANCE,JNJ Stock Update,2026-01-12,Yahoo Finance,https://finance.yahoo.com/quote/JNJ,"JNJ (JNJ): Price: $204.39, Change: 0.00%, Market Cap: $N/A, 52W High: $215.19, 52W Low: $141.5"
YAHOO_FINANCE,"Eikon, a high-profile startup led by Merck vets, seeks an IPO",2026-01-11,Yahoo Finance,https://www.biopharmadive.com/news/eikon-ipo-file-cancer-tlr-parp-roger-perlmutter/809308/?.tsrc=rss,"[MRK] Eikon, a high-profile startup led by Merck vets, seeks an IPO. "
YAHOO_FINANCE,Can the Dogs of the Dow Really Beat the Magnificent 7 in 2026?,2026-01-10,Yahoo Finance,https://247wallst.com/investing/2026/01/10/can-the-dogs-of-the-dow-really-beat-the-magnificent-7-in-2026/?.tsrc=rss,[MRK] Can the Dogs of the Dow Really Beat the Magnificent 7 in 2026?. 
