Fact_ID,Entity_Key,Mention_Count
1000,359,1
1001,276,0
1001,338,2
1002,206,5
1002,280,1
1002,362,1
1002,360,2
1005,206,1
1005,349,1
1005,276,0
1005,338,5
1006,355,1
1006,200,2
1006,361,1
1006,276,1
1006,338,1
1007,247,0
1008,222,1
1008,385,1
1010,355,1
1011,200,1
1011,359,3
1012,343,1
1012,260,1
1013,361,0
1013,203,2
1014,355,1
1014,354,0
1014,362,1
1014,388,2
1015,336,1
1015,303,1
1017,200,4
1017,276,1
1017,362,1
1017,206,1
1017,280,1
1017,338,1
1017,220,2
1017,251,1
1018,349,4
1018,362,1
1018,360,3
1021,355,3
1022,297,1
1022,280,6
1022,276,1
1022,338,1
1023,297,1
1024,385,4
1026,297,6
1026,280,5
1027,355,1
1028,355,1
1028,349,4
1028,362,3
1028,360,1
1028,388,4
1028,385,1
1028,222,1
1029,247,0
1029,200,1
1030,349,1
1032,391,1
1032,336,0
1033,349,13
1034,373,18
1034,276,1
1034,355,1
1034,208,1
1034,279,0
1034,362,2
1034,354,1
1034,211,1
1034,349,5
1034,360,1
1034,338,2
1034,388,1
1034,281,1
1035,248,3
1035,208,2
1035,279,3
1036,341,2
1036,299,1
1037,355,1
1037,220,4
1038,355,1
1038,341,4
1039,200,1
1040,211,1
1040,373,3
1041,247,1
1041,373,1
1041,362,0
1042,355,2
1042,279,2
1042,343,3
1043,247,1
1043,354,0
1043,360,1
1043,222,1
1044,355,1
1044,341,3
1044,247,1
1044,279,1
1044,394,4
1044,212,1
1044,392,8
1044,348,2
1045,200,4
1045,336,1
1045,362,1
1046,354,0
1046,211,1
1047,354,2
1047,276,1
1047,338,3
1048,200,3
1049,355,1
1049,343,1
1049,249,2
1049,301,7
1050,354,0
1050,276,0
1050,338,6
1051,362,1
1052,349,3
1052,343,3
1052,249,1
1053,354,1
1053,276,2
1053,338,3
1053,392,1
1054,354,0
1054,362,2
1055,355,4
1055,208,1
1055,349,1
1055,360,1
1055,301,1
1056,386,0
1056,385,9
1057,247,1
1057,280,1
1057,349,5
1057,346,3
1058,355,5
1058,385,10
1059,354,2
1059,276,1
1059,338,3
1061,297,9
1061,280,8
1062,355,1
1062,341,7
1063,247,1
1063,200,1
1064,208,2
1064,373,1
1064,362,0
1065,362,6
1066,206,1
1066,349,2
1066,373,1
1066,360,1
1068,349,1
1070,349,2
1071,200,4
