Date_Key,Year,Quarter,Month,Month_Number,Day,Day_of_Week,Week_of_Year,Date_String
20001231,2000,Q4,December,12,31,Sunday,52,2000-12-31
20091104,2009,Q4,November,11,4,Wednesday,45,2009-11-04
20100103,2010,Q1,January,1,3,Sunday,53,2010-01-03
20100215,2010,Q1,February,2,15,Monday,7,2010-02-15
20100307,2010,Q1,March,3,7,Sunday,9,2010-03-07
20100314,2010,Q1,March,3,14,Sunday,10,2010-03-14
20100323,2010,Q1,March,3,23,Tuesday,12,2010-03-23
20100426,2010,Q2,April,4,26,Monday,17,2010-04-26
20100624,2010,Q2,June,6,24,Thursday,25,2010-06-24
20100826,2010,Q3,August,8,26,Thursday,34,2010-08-26
20100908,2010,Q3,September,9,8,Wednesday,36,2010-09-08
20101013,2010,Q4,October,10,13,Wednesday,41,2010-10-13
20101226,2010,Q4,December,12,26,Sunday,51,2010-12-26
20110224,2011,Q1,February,2,24,Thursday,8,2011-02-24
20110308,2011,Q1,March,3,8,Tuesday,10,2011-03-08
20110324,2011,Q1,March,3,24,Thursday,12,2011-03-24
20110413,2011,Q2,April,4,13,Wednesday,15,2011-04-13
20110504,2011,Q2,May,5,4,Wednesday,18,2011-05-04
20110613,2011,Q2,June,6,13,Monday,24,2011-06-13
20110710,2011,Q3,July,7,10,Sunday,27,2011-07-10
20110712,2011,Q3,July,7,12,Tuesday,28,2011-07-12
20110804,2011,Q3,August,8,4,Thursday,31,2011-08-04
20110828,2011,Q3,August,8,28,Sunday,34,2011-08-28
20110830,2011,Q3,August,8,30,Tuesday,35,2011-08-30
20110913,2011,Q3,September,9,13,Tuesday,37,2011-09-13
20111013,2011,Q4,October,10,13,Thursday,41,2011-10-13
20111016,2011,Q4,October,10,16,Sunday,41,2011-10-16
20111020,2011,Q4,October,10,20,Thursday,42,2011-10-20
20111026,2011,Q4,October,10,26,Wednesday,43,2011-10-26
20111103,2011,Q4,November,11,3,Thursday,44,2011-11-03
20111109,2011,Q4,November,11,9,Wednesday,45,2011-11-09
20111117,2011,Q4,November,11,17,Thursday,46,2011-11-17
20111120,2011,Q4,November,11,20,Sunday,46,2011-11-20
20111122,2011,Q4,November,11,22,Tuesday,47,2011-11-22
20111208,2011,Q4,December,12,8,Thursday,49,2011-12-08
20111214,2011,Q4,December,12,14,Wednesday,50,2011-12-14
20120110,2012,Q1,January,1,10,Tuesday,2,2012-01-10
20120116,2012,Q1,January,1,16,Monday,3,2012-01-16
20120208,2012,Q1,February,2,8,Wednesday,6,2012-02-08
20120215,2012,Q1,February,2,15,Wednesday,7,2012-02-15
20120319,2012,Q1,March,3,19,Monday,12,2012-03-19
20120419,2012,Q2,April,4,19,Thursday,16,2012-04-19
20120604,2012,Q2,June,6,4,Monday,23,2012-06-04
20120617,2012,Q2,June,6,17,Sunday,24,2012-06-17
20120625,2012,Q2,June,6,25,Monday,26,2012-06-25
20120626,2012,Q2,June,6,26,Tuesday,26,2012-06-26
20120627,2012,Q2,June,6,27,Wednesday,26,2012-06-27
20120628,2012,Q2,June,6,28,Thursday,26,2012-06-28
20120629,2012,Q2,June,6,29,Friday,26,2012-06-29
20120701,2012,Q3,July,7,1,Sunday,26,2012-07-01
20120702,2012,Q3,July,7,2,Monday,27,2012-07-02
20120703,2012,Q3,July,7,3,Tuesday,27,2012-07-03
20120705,2012,Q3,July,7,5,Thursday,27,2012-07-05
20120706,2012,Q3,July,7,6,Friday,27,2012-07-06
20120709,2012,Q3,July,7,9,Monday,28,2012-07-09
20120711,2012,Q3,July,7,11,Wednesday,28,2012-07-11
20120712,2012,Q3,July,7,12,Thursday,28,2012-07-12
20120713,2012,Q3,July,7,13,Friday,28,2012-07-13
20120716,2012,Q3,July,7,16,Monday,29,2012-07-16
20120717,2012,Q3,July,7,17,Tuesday,29,2012-07-17
20120718,2012,Q3,July,7,18,Wednesday,29,2012-07-18
20120719,2012,Q3,July,7,19,Thursday,29,2012-07-19
20120720,2012,Q3,July,7,20,Friday,29,2012-07-20
20120723,2012,Q3,July,7,23,Monday,30,2012-07-23
20120724,2012,Q3,July,7,24,Tuesday,30,2012-07-24
20120725,2012,Q3,July,7,25,Wednesday,30,2012-07-25
20120726,2012,Q3,July,7,26,Thursday,30,2012-07-26
20120730,2012,Q3,July,7,30,Monday,31,2012-07-30
20120731,2012,Q3,July,7,31,Tuesday,31,2012-07-31
20120801,2012,Q3,August,8,1,Wednesday,31,2012-08-01
20120803,2012,Q3,August,8,3,Friday,31,2012-08-03
20120806,2012,Q3,August,8,6,Monday,32,2012-08-06
20120807,2012,Q3,August,8,7,Tuesday,32,2012-08-07
20120808,2012,Q3,August,8,8,Wednesday,32,2012-08-08
20120809,2012,Q3,August,8,9,Thursday,32,2012-08-09
